Study Hours,Attendance,Pass
0,49,0
3,40,0
3,50,0
39,90,1
9,83,0
19,98,1
21,63,1
36,99,1
23,42,0
6,97,0
24,74,1
24,75,1
12,70,0
1,99,0
38,43,1
39,58,1
23,86,1
24,75,1
17,60,0
37,57,1
25,90,1
13,67,0
8,54,0
9,81,0
20,98,1
16,41,0
5,76,0
15,50,0
0,62,0
18,83,1
35,80,1
24,51,1
29,42,1
19,91,1
19,56,0
14,72,0
39,94,1
32,40,1
1,78,0
9,59,0
32,86,1
31,82,1
10,91,0
23,96,1
35,80,1
11,53,0
28,70,1
34,64,1
0,42,0
0,43,0
36,70,1
5,74,0
38,83,1
17,53,0
15,88,1
4,80,0
31,48,1
1,59,0
1,71,0
39,48,1
35,66,1
38,42,1
11,96,0
18,92,1
27,43,0
0,84,0
14,54,0
35,72,1
12,44,0
20,43,0
11,85,0
4,51,0
6,62,0
4,53,0
3,97,0
12,85,0
36,51,1
14,96,1
15,56,0
20,64,1
35,69,1
23,61,1
15,86,1
13,65,0
21,56,0
5,97,0
35,94,1
0,93,0
31,59,1
5,73,0
30,80,1
0,72,0
36,76,1
34,99,1
29,99,1
3,97,0
34,46,1
13,61,0
39,71,1
21,53,0
